,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5
Exp1,0.03031,0.35222,0.11648,0.22176,0.19183,0.12486,0.09446
Exp2,0.02935,0.37982,0.12391,0.26394,0.19219,0.11928,0.08989
Exp3,0.02814,0.56826,0.13311,0.28956,0.14595,0.27066,0.35608
Exp4,0.02585,3.01085,0.25368,0.28385,1.18961,1.75676,2.10212
Exp5,0.02506,3.47716,0.32546,0.46501,1.51488,2.04964,2.29622
Exp6,0.0246,3.37722,0.32837,0.53499,1.50603,2.02253,2.15703
Exp7,0.0246,3.20829,0.36058,0.63569,1.45748,1.94563,1.96196
Exp8,0.02448,2.95551,0.39697,0.72498,1.37327,1.82315,1.68586
Exp9,0.02387,2.60169,0.39121,0.77148,1.24515,1.64437,1.32898
Exp10,0.02365,2.37778,0.3599,0.81464,1.16065,1.54286,1.06447
Exp11,0.02337,2.3585,0.32533,0.86378,1.13613,1.55578,0.99966
Exp12,0.0247,2.12185,0.30016,0.82157,1.03148,1.42803,0.7962
Exp13,0.02294,1.90497,0.30738,0.86332,0.95402,1.30301,0.4256
Exp14,0.02268,1.86545,0.3159,0.93884,0.95672,1.24046,0.21126
Exp15,0.02242,1.87815,0.32738,1.04465,0.9657,1.14342,0.2983
Exp16,0.02223,1.83547,0.32655,1.06485,0.95006,1.0315,0.40224
Exp17,0.02431,1.83895,0.32942,1.11429,0.94847,0.95993,0.45881
Exp18,0.02214,1.74332,0.32057,1.07112,0.9144,0.85804,0.46556
Exp19,0.02153,1.71739,0.31855,1.07142,0.90064,0.82585,0.4548
Exp20,0.02514,1.41407,0.28742,0.86568,0.7837,0.59992,0.43988
Exp21,0.02185,1.52321,0.31207,1.03615,0.80465,0.47681,0.52378
Exp22,0.02129,1.57414,0.31452,1.03506,0.86035,0.57191,0.49026
Exp23,0.0227,1.42659,0.30361,0.90633,0.79355,0.5791,0.39557
Exp24,0.02143,1.57181,0.31555,1.00417,0.89546,0.6442,0.38184
Exp25,0.02143,1.6046,0.31664,1.00147,0.94032,0.72647,0.24411
Exp26,0.02124,1.60942,0.3139,0.98458,0.9625,0.76349,0.11389
Exp27,0.0212,1.60739,0.31645,0.97409,0.98544,0.74458,0.09601
Exp28,0.02103,1.70216,0.31947,1.01744,1.05047,0.80362,0.10396
Exp29,0.02089,1.69957,0.31761,1.0067,1.06283,0.79468,0.11435
Exp30,0.02094,1.81939,0.32052,1.04184,1.13565,0.88088,0.2374
